sailnumber	name	type
ITA/ITA15095	ARKA	GRAND SOLEIL 37 BC
ITA/ITA809M24	ARKANOE' BY MONTURA	MELGES 24 OD
ITA/ITA349J24	ARLECCHINO	J-24
FRA/FRA8104	ARLIKONE	PROTO 3/4 TON Mod
ITA/ITA17090	ARLY	OPEN 43'
GRE/GRE969	ARMENISTIS	DEHLER 34
GRE/GRE1627	ARMIDA	HANSE 370 BK
GER/GER4955	ARNDT	X-442 MK II
ESP/ESP10124_C	ARQUIMEDES	OPTIMA 106
GER/GER6163	ARRABBIATA	SUN FAST 3200
USA/USA32864	ARROW	J-35
ITA/ITA17001	ARS UNA	MYLIUS 15E25
GRE/GRE1197	ARTEMIS	NEK 26 - DOLPHIN
ITA/ITA14754	ARTEMISIA	GRAND SOLEIL 40 SD
ITA/ITA17257	ARTERIX	BONGO 960 2.20
ITA/ITA54J22	ARTIGLIO	J-22 STD
ESP/ESP4760_C	ARUBA 	FURIA 32
FRA/FRA39662	ARWEN	HANSE 370 DK Lead
GRE/GRE1525	ARWEN	ELAN 340
SUI/SUI2138	AS DE COEUR	X-99
BRA/BRA2421	ASBAR IV	First 35
ESP/ESP4736	ASCATA III	FORTUNA 12
NOR/NOR13333	ASISS	A40 rc
GER/GER7607	ASKEW	COMET 38 S
GRE/GRE1073	ASSANTE	BAVARIA 36
ARG/ARG2224	ASTARTE	NAVALTEC 37
ITA/ITA12762	ASTERIA	ESTE 39
ITA/ITA15764	ASTRA	ELAN 340
AUS/8675	ASTRAL	DUFOUR 36e
GRE/GRE01	ASTRAPI	JEANNEAU OD
ITA/ITA15804	ASTREA	HANSE 400
ITA/ITA16753	ATAHUALPA	SUN ODYSSEY 45.2
GER/GER5175	ATARAXIA	X-332
POR/POR8299	ATCHIM	FIRST 34.7
GRE/GRE49583	ATHINA	JUPITER 30
GRE/GRE1370	ATHINA	CAPE NORTH 43
ARG/ARG5623	ATILA	CORUM 280 CR
ESP/ESP8731_C	ATILA UNO	DEHLER 29
ESP/ESP4767_C	ATLANTE TERCERO	SUN FAST 32 (DK)
ESP/ESP7678_C	ATOLON 3	HANSE 301
ESP/ESP10270_C	ATRAPAVENTS	POGO 6.50
ESP/ESP9727_C	ATRIA	Sun fast 35 (2.15)
POR/POR4500	ATRIA 45	FIRST 45
ITA/ITA16723	ATTENTI AL LUPO	MOODY 38
ITA/ITA16903	ATTIMO	PROTO 31
